Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SIF,SIFCO Industries Inc. Common Stock,$2.41,-0.01,-0.413%,14814297.00,United States,1969,3115,Industrials,Aerospace
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$25.00,0.00,0.00%,3842843450.00,Mexico,1998,191,Industrials,Steel/Iron Ore
SLI,Standard Lithium Ltd. Common Shares,$1.35,0.04,3.053%,261816467.00,Canada,2021,880216,Industrials,Major Chemicals
SLND,Southland Holdings Inc. Common Stock,$3.17,0.13,4.276%,171139009.00,United States,,41113,Industrials,Military/Government/Technical
SLSR,Solaris Resources Inc. Common Shares,$3.479,0.234,7.211%,567894328.00,,2024,96161,,
SOAR,Volato Group Inc. Class A Common Stock,$1.99,-0.03,-1.485%,3782777.00,,2022,20741,Consumer Discretionary,Transportation Services
SSY,SunLink Health Systems Inc. Common Stock,$0.8899,-0.0501,-5.33%,6265433.00,United States,1996,14053,Health Care,Hospital/Nursing Management
STRW,Strawberry Fields REIT Inc. Common Stock,$10.49,-0.37,-3.407%,128160012.00,,2023,34803,Real Estate,Real Estate Investment Trusts
STXS,Stereotaxis Inc. Common Stock,$1.79,0.02,1.13%,153903595.00,United States,,594884,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$3.92,0.11,2.887%,852272649.00,Canada,,8684728,Basic Materials,Precious Metals
SVT,Servotronics Inc. Common Stock,$10.16,0.00,0.00%,25943956.00,United States,1970,50,Consumer Discretionary,Industrial Machinery/Components
SYNX,Silynxcom Ltd. Ordinary Shares,$1.85,0.00,0.00%,9712500.00,,2024,17023,Consumer Staples,Consumer Electronics/Appliances
TGB,Taseko Mines Ltd. Common Stock,$2.08,-0.01,-0.478%,645936077.00,Canada,,14113389,Basic Materials,Precious Metals
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.6781,0.0291,4.484%,140967139.00,Canada,,693323,Basic Materials,Metal Mining
TIC,Acuren Corporation Common Stock,$9.33,0.27,2.98%,1133373086.00,,2025,69572,,
TMP,Tompkins Financial Corporation Common Stock,$57.23,-0.11,-0.192%,826084203.00,United States,1997,36685,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$1.58,0.15,10.49%,259461928.00,Canada,,579230,Basic Materials,Precious Metals
TOON,Kartoon Studios Inc. Common Stock,$0.57,-0.0201,-3.406%,27237429.00,United States,,63324,Consumer Discretionary,Movies/Entertainment
TOPP,Toppoint Holdings Inc. Common Stock,$1.22,-0.01,-0.813%,21350000.00,,2025,24004,Industrials,Trucking Freight/Courier Services
TOPS,TOP Ships Inc. Common Stock,$5.6626,-0.1124,-1.946%,26196303.00,Greece,,3226,Consumer Discretionary,Marine Transportation
TOVX,Theriva Biologics Inc. Common Stock,$1.3202,-0.0534,-3.888%,3673389.00,United States,,9116,Health Care,Biotechnology: Pharmaceutical Preparations
TPET,Trio Petroleum Corp. Common Stock,$1.22,0.04,3.39%,8487167.00,,2023,129604,Energy,Oil & Gas Production
TRT,Trio-Tech International Common Stock,$5.01,0.00,0.00%,21300291.00,United States,1998,2497,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$0.335,-0.0149,-4.258%,94037834.00,Canada,,1739423,Basic Materials,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$3.49,0.23,7.055%,400066968.00,United States,,8066809,Industrials,Metal Fabrications
UAVS,AgEagle Aerial Systems Inc. Common Stock,$1.08,0.02,1.887%,13846055.00,United States,,107825,Industrials,Aerospace
UEC,Uranium Energy Corp. Common Stock,$4.82,0.21,4.555%,2066486370.00,Canada,,11732853,Basic Materials,Other Metals and Minerals
UMAC,Unusual Machines Inc. Common Stock,$5.04,-0.35,-6.494%,84824057.00,United States,2024,351363,Technology,Radio And Television Broadcasting And Communications Equipment
URG,Ur Energy Inc Common Shares (Canada),$0.6674,0.0472,7.61%,243480374.00,Canada,,6505387,Basic Materials,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.6196,0.0331,5.644%,155531949.00,Canada,2017,3292750,Basic Materials,Metal Mining
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$31.28,-0.29,-0.919%,0.00,United States,2004,262424,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$1.98,-0.04,-1.98%,4579516.00,United States,2003,52409,Technology,Electronic Components
