Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
FURY,Fury Gold Mines Limited Common Shares,$0.398,0.007,1.79%,60279437.00,,2020,213585,Basic Materials,Precious Metals
GAU,Galiano Gold Inc.,$1.41,0.09,6.818%,362594114.00,Canada,,1334472,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GBR,New Concept Energy Inc Common Stock,$0.73,-0.0398,-5.17%,3746312.00,United States,1993,13635,Energy,Oil & Gas Production
GENC,Gencor Industries Inc. Common Stock,$11.15,-0.05,-0.446%,163433377.00,United States,,18813,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$4.32,0.07,1.647%,0.00,United States,2005,845839,Finance,Finance/Investors Services
GLDG,GoldMining Inc. Common Shares,$0.837,-0.0091,-1.076%,157963148.00,,,552173,Basic Materials,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$4.59,-0.09,-1.923%,0.00,United States,2006,172528,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$5.91,-0.12,-1.99%,0.00,United States,2005,27890,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$15.68,-0.0407,-0.259%,93592524.00,United States,2004,23943,Finance,Finance/Investors Services
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.17,-0.05,-0.958%,65708544.00,United States,2004,27815,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$0.2485,0.0002,0.081%,22365000.00,Singapore,2022,686016,Consumer Discretionary,Services-Misc. Amusement & Recreation
GORO,Gold Resource Corporation Common Stock,$0.425,-0.0181,-4.085%,51188142.00,United States,,1965770,Basic Materials,Precious Metals
GPUS,Hyperscale Data Inc. Common Stock,$2.22,-0.20,-8.264%,14493474.00,United States,1997,40649,Technology,Industrial Machinery/Components
GRAF,Graf Global Corp. Class A ordinary shares,$10.21,-0.04,-0.39%,0.00,,2024,7415,,
GRF,Eagle Capital Growth Fund Inc. Common Stock,$9.50,-0.015,-0.158%,0.00,United States,,1550,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each representing twenty (20) Ordinary Shares,$0.92,-0.06,-6.122%,10799023.00,,,21301,Energy,Industrial Machinery/Components
GRO,Brazil Potash Corp. Common Shares,$2.70,0.18,7.143%,103717090.00,,2024,86770,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GROY,Gold Royalty Corp. Common Shares,$1.68,0.02,1.205%,284039981.00,Canada,2021,2715785,Basic Materials,Precious Metals
GTE,Gran Tierra Energy Inc. Common Stock,$4.50,0.26,6.132%,138376503.00,Canada,,379749,Energy,Oil & Gas Production
HCWC,Healthy Choice Wellness Corp. Class A Common Stock,$0.45,0.0202,4.70%,4754587.00,,2024,24531,Consumer Staples,Food Chains
HNW,Pioneer Diversified High Income Fund Inc.,$11.43,-0.08,-0.695%,0.00,United States,2007,23341,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$0.5513,-0.0135,-2.39%,8647986.00,United States,,149713,Energy,Oil & Gas Production
HYLN,Hyliion Holdings Corp. Class A Common Stock,$1.34,-0.11,-7.586%,234259033.00,United States,2019,799084,Consumer Discretionary,Construction/Ag Equipment/Trucks
IAF,abrdn Australia Equity Fund Inc. Common Stock,$3.98,-0.03,-0.748%,0.00,United States,1985,67993,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$0.613,0.0263,4.483%,271778951.00,Canada,2022,4502454,Basic Materials,Precious Metals
IBO,Impact BioMedical Inc. Common Stock,$0.437,-0.073,-14.314%,5281325.00,,2024,820885,Health Care,Biotechnology: Pharmaceutical Preparations
IDR,Idaho Strategic Resources Inc. Common Stock,$18.91,0.73,4.015%,258406247.00,United States,2022,619449,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$6.42,-0.06,-0.926%,772367178.00,Canada,2022,1495697,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.2852,-0.0054,-1.858%,22726209.00,United States,,114912,Health Care,Biotechnology: Pharmaceutical Preparations
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$2.42,-0.0228,-0.933%,21207634.00,United States,1999,639,Finance,Investment Bankers/Brokers/Service
IMO,Imperial Oil Limited Common Stock,$62.16,1.21,1.985%,31642237200.00,Canada,1929,397352,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$2.38,0.15,6.726%,24282412.00,,2019,110172,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$4.98,-0.05,-0.994%,104625896.00,United States,,157526,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$13.00,0.3509,2.774%,55370588.00,,2022,2309,Technology,Computer Software: Prepackaged Software
INTT,inTest Corporation Common Stock,$5.86,-0.20,-3.30%,72507397.00,United States,1997,32431,Industrials,Electrical Products
INUV,Inuvo Inc.,$0.374,-0.016,-4.103%,53405511.00,United States,,320924,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$17.72,-0.03,-0.169%,72052674.00,United States,1987,1283,Real Estate,Real Estate Investment Trusts
ITP,IT Tech Packaging Inc. Common Stock,$0.255,0.00,0.00%,2566810.00,China,,75814,Consumer Discretionary,Containers/Packaging
ITRG,Integra Resources Corp. Common Shares,$1.80,0.09,5.263%,303429082.00,,,1155058,Basic Materials,Precious Metals
JOB,GEE Group Inc. Common Stock,$0.1808,-0.0092,-4.842%,19781915.00,United States,1968,361955,Consumer Discretionary,Diversified Commercial Services
KAPA,Kairos Pharma Ltd. Common Stock,$0.9074,-0.077,-7.822%,15147506.00,,2024,112066,Health Care,Biotechnology: Pharmaceutical Preparations
KNW,Know Labs Inc. Common Stock,$0.4289,-0.0011,-0.256%,1205465.00,,,638765,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,$1.28,-0.02,-1.538%,364018735.00,United States,,4871768,Technology,Electrical Products
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$0.4168,-0.0121,-2.821%,95178902.00,United States,,1064208,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEGT,Legato Merger Corp. III Ordinary Shares,$10.48,-0.09,-0.851%,0.00,,2024,12958,,
LEU,Centrus Energy Corp. Class A Common Stock,$65.15,1.49,2.341%,1092247307.00,United States,2014,634912,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGCY,Legacy Education Inc. Common Stock,$6.38,0.01,0.157%,78987954.00,,2024,51236,Real Estate,Other Consumer Services
LGL,LGL Group Inc. (The) Common Stock,$6.65,0.05,0.758%,35730816.00,United States,1946,1632,Technology,Industrial Machinery/Components
LGPS,LogProstyle Inc. Common Shares,$3.56,0.35,10.903%,85981512.00,,2025,125158,Consumer Discretionary,Homebuilding
LODE,Comstock Inc. Common Stock,$2.16,0.22,11.34%,52355058.00,United States,,1024905,Industrials,Major Chemicals
LPA,Logistic Properties of the Americas Ordinary Shares,$7.03,0.34,5.082%,222630265.00,,2024,14139,Finance,Real Estate
LSF,Laird Superfood Inc. Common Stock,$5.21,0.03,0.579%,53660322.00,,2020,20861,Consumer Staples,Packaged Foods
LUD,Luda Technology Group Limited Ordinary Shares,$3.92,-0.14,-3.448%,88200000.00,,2025,13459,,
LXFR,Luxfer Holdings PLC Ordinary Shares,$10.16,-0.10,-0.975%,271699472.00,United Kingdom,2012,116266,Industrials,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$16.00,0.23,1.458%,1655195840.00,Canada,,834968,Basic Materials,Precious Metals
MAIA,MAIA Biotechnology Inc. Common Stock,$1.54,-0.03,-1.911%,45564464.00,,2022,22464,Health Care,Biotechnology: Pharmaceutical Preparations
MCRP,Micropolis Holding Company Ordinary Shares,$3.03,-0.10,-3.195%,106050000.00,,2025,52382,,
MGLD,The Marygold Companies Inc. Common Stock,$0.9559,-0.0441,-4.41%,40283712.00,,2022,17261,Finance,Finance: Consumer Services
MHH,Mastech Digital Inc Common Stock,$7.65,-0.25,-3.165%,89836184.00,United States,,10438,Consumer Discretionary,Professional Services
MI,NFT Limited Class A Ordinary Share,$1.82,-0.05,-2.674%,5623815.00,,2023,4758,Consumer Discretionary,Other Specialty Stores
MITQ,Moving iMage Technologies Inc. Common Stock,$0.575,-0.105,-15.441%,5690689.00,United States,2021,230406,Consumer Discretionary,Industrial Machinery/Components
MLSS,Milestone Scientific Inc. Common Stock,$0.905,-0.0513,-5.364%,70933568.00,United States,2015,52370,Health Care,Industrial Specialties
MMA,Mixed Martial Arts Group Limited Ordinary Shares,$0.99,0.00,0.00%,10179859.00,,2024,238511,Consumer Discretionary,Other Consumer Services
MPTI,M-tron Industries Inc. Common Stock,$48.66,0.01,0.021%,141657289.00,United States,2022,27224,Technology,Industrial Machinery/Components
MPU,Mega Matrix Inc. Class A Ordinary Shares,$0.90,0.0323,3.722%,34696643.00,United States,1998,93901,Consumer Discretionary,Diversified Commercial Services
MRT,Marti Technologies Inc. Class A Ordinary Shares,$3.03,-0.05,-1.623%,172819365.00,,2021,50291,Consumer Discretionary,Rental/Leasing Companies
MSN,Emerson Radio Corporation Common Stock,$0.4002,0.00,0.00%,8421269.00,United States,1994,582,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$3.17,0.08,2.589%,293208440.00,,,522764,Basic Materials,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.565,-0.015,-2.586%,2874147.00,United States,2017,26265,Health Care,Biotechnology: Pharmaceutical Preparations
MWG,Multi Ways Holdings Limited Ordinary Shares,$0.289,-0.019,-6.169%,8912760.00,,2023,24068,Consumer Discretionary,Miscellaneous manufacturing industries
MXC,Mexco Energy Corporation Common Stock,$6.875,0.065,0.954%,14066250.00,United States,2003,4310,Energy,Oil & Gas Production
MYND,Mynd.ai Inc. American Depositary Shares,$0.68,-0.0001,-0.015%,31040492.00,,2017,14003,Real Estate,Other Consumer Services
MYO,Myomo Inc. Common Stock,$4.27,-0.21,-4.688%,146807404.00,United States,2017,197854,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$1.07,-0.01,-0.926%,575397081.00,Canada,,8956373,Basic Materials,Precious Metals
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$9.83,-0.09,-0.907%,0.00,United States,2002,82229,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.588,-0.002,-0.339%,3419928.00,United States,2007,46004,Health Care,Biotechnology: Pharmaceutical Preparations
NCL,Northann Corp. Common Stock,$0.2099,-0.0001,-0.048%,7213088.00,,2023,51635,Industrials,Plastic Products
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$76.76,-0.44,-0.57%,216640823.00,United States,,182,Real Estate,Building operators
NEWP,New Pacific Metals Corp. Common Shares,$1.17,0.00,0.00%,200948435.00,Canada,2021,483759,Basic Materials,Precious Metals
NFGC,New Found Gold Corp Common Shares,$1.27,0.09,7.627%,254772152.00,,2021,1695783,Basic Materials,Precious Metals
NG,Novagold Resources Inc.,$3.01,0.13,4.514%,1007047233.00,Canada,2003,3312523,Basic Materials,Precious Metals
NGD,New Gold Inc.,$3.74,0.10,2.747%,2959462000.00,Canada,,26027937,Basic Materials,Metal Mining
NHC,National HealthCare Corporation Common Stock,$91.57,-1.18,-1.272%,1414322550.00,United States,1986,47022,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$7.43,0.12,1.642%,0.00,United States,,151835,Finance,Trusts Except Educational Religious and Charitable
NML,Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,$8.20,0.00,0.00%,0.00,United States,2013,100749,Finance,Finance/Investors Services
