Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CNTB,Connect Biopharma Holdings Limited American Depositary Shares,$0.83,0.0001,0.012%,36502706,China,2021,206326,Health Care,Biotechnology: Pharmaceutical Preparations
CRESY,Cresud S.A.C.I.F. y A. American Depositary Shares,$11.96,0.39,3.371%,46232567,Argentina,1997,253296,Finance,Real Estate
CRTO,Criteo S.A. American Depositary Shares,$29.20,0.35,1.213%,55645495,France,2013,426901,Consumer Discretionary,Advertising
DADA,Dada Nexus Limited American Depositary Shares,$1.85,-0.02,-1.07%,117179332,China,2020,2805124,Technology,Computer Software: Programming Data Processing
DBVT,DBV Technologies S.A. American Depositary Shares,$7.91,0.56,7.619%,3561529,France,2014,41142,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DDI,DoubleDown Interactive Co. Ltd. American Depository Shares,$10.17,0.03,0.296%,7175620,South Korea,2021,8833,Technology,EDP Services
DOYU,DouYu International Holdings Limited ADS,$6.38,-0.19,-2.892%,13525262,China,2019,55199,Technology,Computer Software: Programming Data Processing
EDAP,EDAP TMS S.A. American Depositary Shares,$1.31,-0.05,-3.676%,37638613,France,1997,146943,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EH,EHang Holdings Limited ADS,$14.61,-0.615,-4.039%,49782936,China,2019,1279673,Industrials,Aerospace
ELWS,Earlyworks Co. Ltd. American Depositary Shares,$2.0434,0.1434,7.547%,1025740,Japan,2023,14447,Technology,EDP Services
EM,Smart Share Global Limited American Depositary Shares,$1.11,0.03,2.778%,71716342,China,2021,11130,Consumer Discretionary,Other Consumer Services
ERIC,Ericsson American Depositary Shares,$7.94,-0.13,-1.611%,300880038,Sweden,,37588337,Technology,Radio And Television Broadcasting And Communications Equipment
EVAX,Evaxion Biotech A/S American Depositary Share,$1.31,-0.04,-2.963%,758441,Denmark,2021,34240,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EVO,Evotec SE American Depositary Shares,$3.27,-0.10,-2.967%,12638896,Germany,2021,44221,Health Care,Biotechnology: Pharmaceutical Preparations
FLX,BingEx Limited American Depositary Shares,$2.21,-0.03,-1.339%,4110000,China,2024,8101,Industrials,Trucking Freight/Courier Services
FORTY,Formula Systems (1985) Ltd. American Depositary Shares,$86.6975,0.00,0.00%,121755,Israel,,51,Technology,EDP Services
FRSX,Foresight Autonomous Holdings Ltd. American Depositary Shares,$0.655,-0.0009,-0.137%,10540646,Israel,,33055,Technology,Computer Software: Prepackaged Software
FUTU,Futu Holdings Limited American Depositary Shares,$80.50,-3.24,-3.869%,99114109,Hong Kong,2019,2459689,Finance,Investment Bankers/Brokers/Service
